"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Url"
"67",2023,"Nott'ham Forest","Premier League","team",33,27.2,39.9,31,341,2790,31,23,14,37,22,1,3,72,0,31.3,28.9,22.5,51.4,383,747,0.74,0.45,1.19,0.71,1.16,1.01,0.72,1.73,0.93,1.66,"https://fbref.com/en/squads/e4a775cb/Nottingham-Forest-Stats"
"68",2023,"Osasuna","La Liga","team",25,28.4,49.3,29,319,2610,29,24,19,43,20,4,5,80,5,29.2,25.3,20,45.3,406,1075,0.83,0.66,1.48,0.69,1.34,1.01,0.69,1.7,0.87,1.56,"https://fbref.com/en/squads/03c57e2b/Osasuna-Stats"
"69",2023,"Paris S-G","Ligue 1","team",25,27.6,60.4,31,341,2790,31,71,55,126,67,4,6,48,3,63.2,58.3,47,105.3,692,1654,2.29,1.77,4.06,2.16,3.94,2.04,1.52,3.56,1.88,3.4,"https://fbref.com/en/squads/e2d8892c/Paris-Saint-Germain-Stats"
"70",2023,"RB Leipzig","Bundesliga","team",25,27,58.5,28,308,2520,28,53,33,86,49,4,5,55,1,49.8,45.9,34.6,80.5,486,1185,1.89,1.18,3.07,1.75,2.93,1.78,1.24,3.02,1.64,2.88,"https://fbref.com/en/squads/acbb6a5b/RB-Leipzig-Stats"
"71",2023,"Rayo Vallecano","La Liga","team",28,28.7,52.5,29,319,2610,29,31,22,53,28,3,7,75,4,34,28.6,23.4,52,544,1087,1.07,0.76,1.83,0.97,1.72,1.17,0.81,1.98,0.99,1.79,"https://fbref.com/en/squads/98e8af82/Rayo-Vallecano-Stats"
"72",2023,"Real Madrid","La Liga","team",26,28.2,59.4,29,319,2610,29,59,45,104,52,7,10,52,1,62.6,54.8,47.1,101.9,791,1522,2.03,1.55,3.59,1.79,3.34,2.16,1.62,3.78,1.89,3.51,"https://fbref.com/en/squads/53a2f082/Real-Madrid-Stats"
"73",2023,"Real Sociedad","La Liga","team",30,26.6,55.5,29,319,2610,29,35,26,61,34,1,3,73,2,38.4,36,28.2,64.3,516,1153,1.21,0.9,2.1,1.17,2.07,1.32,0.97,2.3,1.24,2.22,"https://fbref.com/en/squads/e31d1cd9/Real-Sociedad-Stats"
"74",2023,"Reims","Ligue 1","team",30,25.6,47.2,31,341,2790,31,40,28,68,34,6,7,59,8,51.7,46.1,35.9,82,580,1340,1.29,0.9,2.19,1.1,2,1.67,1.16,2.82,1.49,2.64,"https://fbref.com/en/squads/7fdd64e0/Reims-Stats"
"75",2023,"Rennes","Ligue 1","team",32,25.9,54.6,31,341,2790,31,49,34,83,47,2,2,48,6,48.6,47,35.1,82.1,592,1554,1.58,1.1,2.68,1.52,2.61,1.57,1.13,2.7,1.52,2.65,"https://fbref.com/en/squads/b3072e00/Rennes-Stats"
"76",2023,"Roma","Serie A","team",27,28.5,48.7,30,330,2700,30,42,29,71,36,6,9,63,3,47.4,40.7,31.7,72.5,530,925,1.4,0.97,2.37,1.2,2.17,1.58,1.06,2.64,1.36,2.42,"https://fbref.com/en/squads/cf74a709/Roma-Stats"
"77",2023,"Salernitana","Serie A","team",28,28.1,44.5,30,330,2700,30,32,22,54,31,1,1,66,4,29.7,29,22,51,413,899,1.07,0.73,1.8,1.03,1.77,0.99,0.73,1.72,0.97,1.7,"https://fbref.com/en/squads/c5577084/Salernitana-Stats"
"78",2023,"Sampdoria","Serie A","team",37,28.5,47.5,30,330,2700,30,19,15,34,18,1,2,93,2,26.4,24.7,18.5,43.3,378,917,0.63,0.5,1.13,0.6,1.1,0.88,0.62,1.5,0.82,1.44,"https://fbref.com/en/squads/8ff9e3b3/Sampdoria-Stats"
"79",2023,"Sassuolo","Serie A","team",29,26.9,48.8,30,330,2700,30,37,24,61,31,6,7,69,2,40,34.7,28.8,63.4,579,1166,1.23,0.8,2.03,1.03,1.83,1.33,0.96,2.29,1.16,2.11,"https://fbref.com/en/squads/e2befd26/Sassuolo-Stats"
"80",2023,"Schalke 04","Bundesliga","team",35,28.3,45.4,28,308,2520,28,24,17,41,21,3,4,53,1,32.1,28.9,22.4,51.4,329,755,0.86,0.61,1.46,0.75,1.36,1.15,0.8,1.95,1.03,1.83,"https://fbref.com/en/squads/c539e393/Schalke-04-Stats"
"81",2023,"Sevilla","La Liga","team",33,29.6,54.6,29,319,2610,29,35,23,58,33,2,3,103,11,33.7,31.3,23.3,54.6,424,1205,1.21,0.79,2,1.14,1.93,1.16,0.8,1.96,1.08,1.88,"https://fbref.com/en/squads/ad2be733/Sevilla-Stats"
"82",2023,"Southampton","Premier League","team",31,25.2,45.3,31,341,2790,31,24,16,40,23,1,3,57,0,29.2,26.8,22.1,48.8,462,957,0.77,0.52,1.29,0.74,1.26,0.94,0.71,1.65,0.86,1.58,"https://fbref.com/en/squads/33c895d4/Southampton-Stats"
"83",2023,"Spezia","Serie A","team",34,26.4,46.8,30,330,2700,30,23,14,37,19,4,4,82,5,30.6,27.6,20.7,48.3,432,900,0.77,0.47,1.23,0.63,1.1,1.02,0.69,1.71,0.92,1.61,"https://fbref.com/en/squads/68449f6d/Spezia-Stats"
"84",2023,"Strasbourg","Ligue 1","team",29,28.3,46.5,31,341,2790,31,38,21,59,35,3,5,65,6,38.4,34.2,25.9,60.1,485,1141,1.23,0.68,1.9,1.13,1.81,1.24,0.83,2.07,1.1,1.94,"https://fbref.com/en/squads/c0d3eab4/Strasbourg-Stats"
"85",2023,"Stuttgart","Bundesliga","team",30,25.4,49,28,308,2520,28,35,28,63,32,3,3,62,5,37,34.7,30.7,65.4,517,1008,1.25,1,2.25,1.14,2.14,1.32,1.1,2.42,1.24,2.33,"https://fbref.com/en/squads/598bc722/Stuttgart-Stats"
"86",2023,"Torino","Serie A","team",28,26.1,53.2,30,330,2700,30,31,25,56,29,2,2,66,0,33,31.4,27,58.4,516,1074,1.03,0.83,1.87,0.97,1.8,1.1,0.9,2,1.05,1.95,"https://fbref.com/en/squads/105360fe/Torino-Stats"
